ExpirationDate: 01/14/2021
Ticker: AAPL
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
80,23.01,22.75,25.4,1.51,7.02326,9,195,0.512883
85,19.88,17.65,20.95,3.29,19.8312,6,281,0.497503
87.5,18.7,16.7,20.7,2.8,17.6101,1,41,0.530095
90,17,15.9,18.5,1.8,11.8421,25,580,0.496892
92.5,13.49,13.8,17.8,0,0,5,74,0.510015
95,15.01,13.9,16.3,3.86,34.6188,13,191,0.496282
97.5,12.72,11.85,14.7,2.57,25.3202,11,108,0.478094
100,12.25,11.35,14.35,1.6,15.0235,10,1455,0.49616
105,10.31,8,11.95,2.05,24.8184,8,286,0.476018
110,7.7,6.65,8.9,1.05,15.7895,36,2639,0.42951
115,6.85,5.75,8,1.25,22.3214,3,451,0.442266
120,4.55,4.35,5.2,0.2,4.59771,20,1275,0.386603
125,3.85,3.4,6.45,0.55,16.6667,52,1695,0.461797
130,3,2.16,3.3,0.5,20,3,1090,0.375861
135,1.95,1.66,2.87,0.1,5.40541,21,2581,0.383429
140,1.19,0.95,2,0,0,4,2194,0.365241
145,1.2,0.61,3.4,0.2,20,15,1435,0.453985
150,1.1,0.63,1.1,0.42,61.7647,14,945,0.350837
155,0.75,0.54,0.92,0.21,38.8889,40,196,0.354621
160,0.6,0.34,0.74,0,0,1,425,0.355231
170,0.48,0.04,0.5,0.1,26.3158,1,171,0.359137
175,0.13,0,2.31,0,0,2,26,0.514165
180,0.26,0,0.67,0,0,68,136,0.406622
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: BAC
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
20,6.65,6.4,6.7,1.1,19.8198,2269,16797,0.486577
10,10.3,14.8,15.5,0,0,1,11,0.701175
5,15.7,19.65,20.1,0,0,2,1,0.734378
8,12.08,16.8,17.25,0,0,2,3,0.757815
18,8.02,7.9,8.4,1.12,16.2319,292,16274,0.509771
13,12,12.15,12.55,1.3,12.1495,40,1480,0.600102
15,10.75,10.4,10.75,1.58,17.2301,100,2243,0.553715
23,4.65,4.5,4.8,0.75,19.2308,821,18812,0.455816
25,3.55,3.5,3.65,0.75,26.7857,7168,50318,0.427984
28,2.15,2.15,2.29,0.55,34.375,6018,49189,0.39588
30,1.57,1.5,1.58,0.48,44.0367,4102,65832,0.374762
32,1.05,0.95,1.05,0.37,54.4118,1991,46304,0.357184
35,0.54,0.52,0.55,0.21,63.6364,7049,105937,0.340094
37,0.34,0.28,0.36,0.12,54.5455,1741,64205,0.334479
40,0.16,0.15,0.17,0.03,23.0769,547,36118,0.322272
42,0.1,0.09,0.11,0.02,25,11,19952,0.320319
45,0.06,0.05,0.06,-0.02,-25,230,10223,0.320319
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: BA
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
70,93.83,89.9,93.9,11.93,14.5665,1,78,1.05176
50,106.74,105,109.55,-10.48,-8.94046,2,49,1.14039
205,19.5,18.95,19.75,1,5.40541,17,423,0.661319
55,106.19,101.7,105.55,-0.00999451,-0.00941102,10,33,1.13501
90,79.38,76.3,77.35,1.6,2.05708,21,44,0.947999
60,102.19,97.85,101.5,0,0,2,85,1.10669
245,10.4,9.85,11,0.549999,5.58375,42,105,0.612675
65,90.1,93.5,97.7,0,0,5,51,1.07093
270,7.15,6.3,7.3,0.75,11.7188,271,549,0.586949
290,5.6,4.6,5.7,1,21.7391,2,577,0.582035
75,88.35,87.05,88.25,5.4,6.50995,11,168,1.00806
80,74.29,83.35,84.5,0,0,2,32,0.985535
330,3.01,2.38,2.66,0.61,25.4167,37,3797,0.554265
85,75.1,79.75,80.85,0,0,3,23,0.965088
350,1.8,1.7,1.96,0,0,425,5124,0.547978
370,1.3,1.16,1.46,-0.25,-16.129,8,1289,0.541142
95,75.88,72.75,73.85,6.38,9.17985,6,85,0.927613
410,0.92,0.65,0.86,0.02,2.22223,4,875,0.539067
100,73.55,68.6,70.4,7.35001,11.1027,103,492,0.898011
430,0.72,0.36,0.69,0.05,7.46269,18,519,0.531255
105,68.25,65.3,66.95,1.56,2.33918,2,148,0.879762
110,67.71,62.1,63.8,8.71,14.7627,14,3011,0.865358
115,63.67,59.45,60.65,9.35,17.2128,5,102,0.856142
490,0.41,0.13,0.48,0,0,10,493,0.545415
120,56.54,56.05,57.6,2.44,4.51017,10,358,0.837221
510,0.38,0.09,0.52,0,0,11,422,0.560551
125,53.75,53.15,54.75,-0.549999,-1.01289,17,396,0.825136
265,9,6.85,7.65,2.15,31.3869,88,126,0.587254
130,53.8,50.3,51.95,6.45,13.622,6,434,0.812563
135,48.05,47.6,49.1,2.55,5.60439,15,196,0.799563
285,5.98,4.75,5.5,0.83,16.1165,20,213,0.57111
140,45.65,44.95,46.4,3.45,8.17536,83,286,0.787173
295,4.9,4.3,4.65,0.7,16.6667,2,216,0.570073
145,44.2,42.55,43.8,3.35,8.20074,55,103,0.776949
150,40,40,41.35,1.62,4.22095,170,973,0.7652
315,3.35,2.9,3.35,-0.25,-6.94444,38,708,0.556401
155,38.64,37.55,38.9,1.94,5.2861,87,132,0.752993
325,3.1,2.58,2.9,0.25,8.77193,5,889,0.556401
160,36.5,35.35,37.7,3.52,10.6731,94,446,0.753939
335,2.81,2.16,2.49,0,0,1,441,0.552556
165,36.79,33.6,35.2,2.74,8.047,2,210,0.745059
345,2.24,1.83,2.12,0.24,12,6,717,0.549077
170,31.49,31,32.35,2.19,7.4744,41,220,0.723361
175,29.65,29,30.15,2.25,8.21168,52,260,0.712222
365,1.68,1.27,1.58,0.17,11.2583,23,931,0.542851
180,27.8,27.1,28.55,2.4,9.44882,40,812,0.706302
185,26.75,25.2,26.45,2.05,8.29959,7,122,0.694308
190,26.35,23.55,24.6,4.4,20.0456,32,295,0.685611
195,23.3,21.9,22.9,2.8,13.6585,6,59,0.676975
200,20.75,20.5,21.35,1.25,6.41026,303,3899,0.67078
210,18.6,17.5,18.4,1.03,5.86227,4,159,0.653904
215,18.01,16.25,17.05,1.16,6.88427,11,97,0.647159
220,17.6,15,15.8,1.25,7.64526,5,472,0.640079
225,14.5,13.9,14.65,0.3,2.11268,34,540,0.634281
230,14.58,12.65,15.1,1.78,13.9062,12,628,0.642399
235,14.12,11.65,12.5,1.62,12.96,4,225,0.619938
240,12.65,10.7,11.55,2,18.7793,6,591,0.614079
250,9.5,9.15,9.75,0.5,5.55556,291,2708,0.603886
255,9.7,8.35,9,1.25,14.7929,10,256,0.598454
260,8.05,7.55,8.35,0.45,5.92106,19,320,0.593144
275,6.35,5.75,6.5,-0.0999999,-1.55039,84,179,0.579472
280,6.55,5.25,6,-0.0299997,-0.455923,21,721,0.57581
300,4.15,4.1,4.2,0.0999999,2.46913,276,5480,0.568425
305,4.34,3.65,3.95,0.49,12.7273,5,360,0.565068
310,3.5,2.93,3.65,-0.6,-14.6341,128,661,0.554509
320,3.32,2.82,3.75,0.43,14.8789,2,1379,0.571293
340,2.48,1.98,2.3,0.25,11.2108,12,1922,0.550664
355,1.82,1.53,1.83,-0.03,-1.62162,7,1089,0.546025
360,1.51,1.5,1.71,-0.4,-20.9424,11,2682,0.5481
375,1.44,1.12,1.47,0.1,7.46269,17,1475,0.546269
380,1.37,0.99,1.28,0.02,1.48148,15,2479,0.540166
385,1.29,0.92,1.19,0.24,22.8571,1,440,0.539555
390,1.08,0.88,1.12,-0.18,-14.2857,44,1742,0.540654
395,0.99,0.82,1.36,-0.21,-17.5,1,422,0.55396
400,0.91,0.9,1.11,-0.03,-3.19149,270,9843,0.552251
420,0.75,0.5,0.86,0,0,13,1189,0.54102
440,0.72,0.36,0.62,0.12,20,90,824,0.535649
450,0.5,0.45,0.56,-0.08,-13.7931,37,2114,0.54688
460,0.41,0.22,0.73,-0.16,-28.0702,2,573,0.551274
470,0.44,0.41,0.5,-0.11,-20,45,357,0.556645
480,0.4,0.16,0.63,-0.03,-6.97674,24,1315,0.554936
500,0.35,0.32,0.4,-0.04,-10.2564,51,5137,0.564457
520,0.33,0.12,0.49,-0.02,-5.71428,17,276,0.567875
540,0.32,0.04,0.44,-0.02,-5.88236,1,815,0.566411
560,0.24,0.15,0.34,0,0,3,970,0.581059
580,0.22,0.01,0.37,-0.02,-8.33333,4,578,0.578129
600,0.2,0.15,0.27,0,0,3,1567,0.596195
620,0.2,0.14,0.25,0,0,1,1910,0.60352
640,0.17,0.17,0.19,0,0,270,7070,0.609379
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: BIIB
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
315,43.6,54.1,58.1,0,0,1,210,0.497243
155,150.7,166.8,169.7,0,0,0,10,0.511724
110,192.04,209.2,212.9,0,0,3,0,0.69971
450,11.45,11.6,16.3,0,0,818,1501,0.450689
115,180.05,204.2,207.7,0,0,7,0,0.658451
490,6.59,4.8,7.4,0,0,10,0,0.395361
120,211.4,189.6,194,0,0,1,0,1e-05
125,182.72,171.5,175.4,0,0,1,0,1e-05
520,6.2,4.1,8.4,3.7,148,1,568,0.446935
135,172.3,185.1,188.7,0,0,3,0,0.501714
130,177.7,167.5,171.4,0,0,0,1,1e-05
140,157.4,181.3,185.4,0,0,4,9,0.579716
150,145.6,172.1,176,0,0,3,34,0.568852
325,46,49.1,53.3,0,0,1,157,0.491491
160,137.81,163.1,166.8,0,0,1,25,0.56049
335,25,44.7,48.7,0,0,11,200,0.485235
165,158.2,155.5,159.3,0,0,0,9,0.51624
345,39.8,40.9,45.3,17.7,80.0905,1,24,0.487371
170,119.5,153.3,156.3,0,0,2,0,0.513921
175,130.7,148.8,152.2,0,0,1,16,0.516179
365,25.75,33.9,37.5,0,0,1,148,0.47614
180,108,145.3,149.4,0,0,1,22,0.546361
375,29.9,30.4,34.3,0,0,4,225,0.473608
185,110.7,139.9,143.1,0,0,1,0,0.504094
190,123,126.5,129.8,0,0,1,0,1e-05
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66
195,126.3,125.5,129.4,0,0,1,15,0.408392
200,105.59,128.7,133,0,0,1,255,0.537907
210,106,116,119.6,0,0,3,36,0.473302
220,105,112.9,117,0,0,1,74,0.522801
230,91,105.3,109.7,0,0,1,1156,0.51743
240,96,98.1,102.2,0,0,2,191,0.509862
250,79.19,91.3,95.5,0,0,2,205,0.506566
260,69.6,84.7,88.9,0,0,1,229,0.501577
270,78,78.3,82.5,12,18.1818,2,106,0.518178
280,70.5,72.3,76.6,0,0,1,275,0.513555
290,65.5,66.7,70.9,0,0,2,137,0.508168
295,47.9,63.9,68.1,0,0,1,307,0.504979
300,60.3,61.5,65.4,0,0,11,2128,0.502126
305,50.1,58.5,63.1,0,0,18,232,0.502401
310,55.4,56.5,60.7,4.81,9.50781,1,461,0.501058
320,51.13,51.3,55.9,0,0,8,330,0.49648
330,47.03,47.7,51.4,2.03,4.51111,3,299,0.492254
340,33.4,42.7,47.4,0,0,2,143,0.490163
350,39.5,38.9,43.5,0.5,1.28205,2,1580,0.486715
355,52.6,28.5,32.4,0,0,2,48,0.402716
360,37.2,34.3,37.4,9.27,33.1901,3,64,0.461507
370,44.68,17.5,22,0,0,5,146,0.348655
380,27.1,28.8,32.7,0,0,2,65,0.471578
385,25.5,18.9,20.6,0,0,1,111,0.371115
390,26,25.7,29.8,0,0,10,245,0.468771
400,25,23,25,1.9,8.22511,2,382,0.446066
410,18.8,20.7,24.7,0,0,1,255,0.463979
420,16,18.1,21.9,0,0,1,24,0.456304
430,12.5,15.8,20,0,0,1,30,0.455724
440,18,8.1,10.5,0,0,1,34,0.367377
460,6.5,10.9,14.8,0,0,1,42,0.44959
470,7.8,3.3,7.7,0,0,1,542,0.373786
480,5.37,7.2,10.1,0,0,1,374,0.420721
500,6.8,5.9,7.9,0.4,6.25,3,5358,0.415411

Ticker: BK
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
40,4.2,3.9,4.6,0.7,20,258,2044,0.440557
20,13.55,15.25,19.7,0,0,0,250,0.90088
50,1.5,1.15,1.83,0.54,56.25,512,3284,0.415777
35,6.3,6.3,6.95,1.12,21.6216,2,249,0.46314
25,8.65,12.95,13.75,0,0,1,5,0.5398
60,0.3,0.19,0.51,0,0,3,520,0.376715
45,2.24,2.2,2.68,0.29,14.8718,3,3011,0.404547
30,8.13,9.25,10.05,0,0,2,94,0.497808
55,0.45,0.49,0.77,0,0,1,1476,0.365241
65,0.12,0.05,0.35,0,0,70,130,0.38819
70,0.07,0.01,0.35,0,0,1,0,0.425787
75,0.14,0.1,0.14,0,0,20,0,0.393561
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: BLK
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
250,193.55,175.1,188,0,0,1,1,1e-05
740,1.8,0.15,9.9,0,0,5,0,0.402075
190,232.92,0,0,0,0,0,0,1e-05
550,29.44,27.5,35.8,17.2,140.523,7,66,0.382102
280,208.13,219.5,229.5,0,0,22,0,0.802294
200,230.34,242.9,258.8,0,0,0,0,1e-05
210,237.26,234,249.4,0,0,0,0,1e-05
220,169.3,0,0,0,0,0,0,1e-05
230,160.4,0,0,0,0,0,0,1e-05
530,39.5,34.2,40.3,23.04,139.976,1,165,0.374869
270,210.08,181.5,197.5,0,0,1,1,1e-05
260,180.32,0,0,0,0,0,1,1e-05
290,199,144,157.8,0,0,8,0,1e-05
590,9.45,16.7,24.8,0,0,5,160,0.370337
300,169.12,177.2,191,0,0,2,17,0.582493
320,154.5,160.7,175.5,0,0,1,13,0.569935
330,62,152.1,167,0,0,3,13,0.554326
340,75,144.2,158,0,0,1,2,0.533605
350,60.47,134.9,150,0,0,1,11,0.52181
360,140.36,129,142.8,84.79,152.582,1,3,0.515996
370,115.41,121.5,136,0,0,2,25,0.51212
380,98.1,114,126.9,0,0,5,1,0.488881
390,105,106.6,121.5,0,0,2,172,0.493474
400,87.5,100.2,113.6,0,0,2,15,0.477972
410,99,95,105,29,41.4286,5,75,0.45693
420,62.48,88.7,98.5,0,0,3,25,0.449865
430,90,82.5,92,22.63,33.5906,5,22,0.441625
440,70.18,76.4,86,0,0,2,30,0.435476
450,74.8,70.8,80.5,10.2,15.7895,1,27,0.43128
460,40.5,65,73.7,0,0,1,311,0.417654
470,67,60,68.8,23.38,53.5993,3,25,0.414694
480,63,55.2,63.9,14.75,30.5699,1,125,0.410399
490,46,50,59.5,0,0,10,71,0.407843
500,49,45,53,14,40,42,101,0.391287
510,36.71,42.1,48.6,0,0,1,197,0.386137
520,5.8,38.2,46.3,0,0,2,347,0.392447
540,14.07,30.6,37.2,0,0,1,43,0.373732
560,11,25,33,0,0,3,109,0.380606
570,18,22,30,-1.5,-7.69231,1,91,0.376631
580,20.2,19.3,28,0,0,2,236,0.378119
600,18,15.7,22.5,5.9,48.7603,34,153,0.367468
610,14,14.1,20.9,9.11,186.299,49,78,0.368598
620,14.15,10,19.5,5.79,69.2584,6,34,0.370352
640,11.22,7.7,16.5,3.02,36.8293,1,121,0.369727
660,8.3,7.1,13.4,6,260.87,1,64,0.364386
680,4.5,0,0,0,0,5,0,0.0625094
700,5.67,3.8,9,0,0,16,35,0.358527
720,3.52,0.7,4.6,0,0,1,71,0.318305
760,2.95,1,6.7,0,0,16,16,0.378668
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: COF
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
45,12.05,19.2,22,0,0,13,14,0.636478
30,32.2,30.15,33.45,0,0,2,2,0.706546
50,17.39,16.3,18.5,3.77,27.6799,2,105,0.612553
35,21.5,27.25,29.05,0,0,1,5,0.7168
40,25,22.8,25.05,11.3,82.4818,2,10,0.648929
42.5,12.9,20.85,23.5,0,0,11,19,0.639408
47.5,5.75,17.95,19.9,0,0,1,2,0.622074
52.5,15.6,15,16.4,7.6,95,4,207,0.589604
55,14.55,13.5,15.3,3.38,30.2596,6,67,0.584721
57.5,13.86,12.1,13.85,10.16,274.595,1,1,0.569584
60,12.45,10.95,12.05,3.15,33.871,37,217,0.54865
62.5,10.39,9.9,10.75,2.39,29.875,1,48,0.539067
65,9.8,8.5,9.8,2.7,38.0282,10,34,0.525884
67.5,3.1,7.8,8.7,0,0,10,10,0.522222
70,7.5,6.55,7.6,2,36.3636,10,145,0.50208
72.5,4.6,5.55,6.8,0,0,2,13,0.521672
75,3.75,5,6.2,0,0,8,54,0.522893
77.5,3.2,4.75,5.4,0,0,2,0,0.511296
80,4.5,4.05,4.6,1.5,50,35,515,0.496343
82.5,2,3.35,4.05,0,0,5,63,0.491155
85,2.28,2.47,3.55,0,0,4,681,0.485845
87.5,2.5,2.13,3.1,0,0,1,47,0.480718
90,2.37,1.91,2.82,0.32,15.6098,7,388,0.483282
92.5,2.25,1.72,2.44,1.04,85.9504,10,223,0.4773
95,2,1.59,2.14,0.75,60,2,196,0.474248
97.5,1.01,0.97,1.95,0,0,5,640,0.476934
100,1.52,0.93,1.64,0.47,44.7619,872,245,0.468511
105,1.12,0.86,1.43,0.72,180,5,318,0.479619
110,0.9,0.51,1.2,0.23,34.3284,60,160,0.484624
115,0.69,0.27,0.97,0.12,21.0526,15,197,0.484624
120,0.45,0.34,0.76,0.05,12.5,8,417,0.481695
125,0.65,0,0.96,0,0,6,67,0.527104
130,0.35,0,2.84,0,0,10,0,0.596928
135,0.2,0,0.77,0,0,3,94,0.541753
140,1,0.01,0.44,0,0,3,31,0.505864
145,0.09,0.08,1.96,0,0,10,0,0.609379
150,0.17,0,0.4,0,0,10,0,0.528813
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: BMY
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
23,24.14,33.7,38.4,0,0,26,1,0.531255
35,23.2,22.1,26.8,0,0,4,180,0.688724
25,23,31.65,0,0,0,3,40,1e-05
45,14.8,14.8,15.8,1.55,11.6981,5,1527,0.369025
30,27.6,26.95,31.5,0,0,2,328,0.803469
33,20.7,23.95,28.5,0,0,2,29,0.714602
38,21.53,19.75,23.25,5.95,38.19,1,61,0.560185
40,19.6,17.55,21.1,1,5.37634,2,727,0.500127
43,13.38,16.65,17.45,0,0,1,490,0.379157
47,13.45,13.1,14.1,0.7,5.49019,5,1272,0.351447
50,11.15,10.65,11.65,0.4,3.72093,9,5426,0.326545
52.5,8.79,8.9,9.6,0,0,34,2031,0.3003
55,7.8,7.65,8.05,0.25,3.31126,11,4119,0.295722
57.5,6.08,6,6.5,0,0,6,2629,0.28321
60,4.91,4.65,5.1,0.26,5.59139,23,6194,0.270515
62.5,3.7,3.55,3.95,0.1,2.77778,6,2738,0.261848
65,2.92,2.66,2.98,0.32,12.3077,70,4562,0.25367
67.5,2.06,1.9,2.18,0.0599999,3,28,5441,0.245735
70,1.69,1.33,1.61,0.36,27.0677,10,9201,0.242195
72.5,1.05,0.8,1.14,0.16,17.9775,14,1114,0.237068
75,0.74,0.58,0.87,0.13,21.3115,5,5809,0.239387
80,0.39,0.15,0.47,-0.01,-2.5,10,2789,0.239754
85,0.15,0.05,0.25,0,0,10,603,0.240242
90,0.32,0.05,0.19,0,0,1,1882,0.256355
95,0.19,0.01,0.13,0,0,1,0,0.265632
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: DD
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
45,4.45,4.15,4.95,0.62,16.188,2,287,0.459112
30,10.05,13,13.45,0,0,2,16,0.528569
32.5,5.45,11,11.6,0,0,1,5,0.524785
50,2.87,2.56,3.25,0.63,28.125,64,786,0.43775
35,7.76,9.3,10,0,0,6,86,0.510747
37.5,3.39,7.8,8.6,0,0,1,16,0.502202
40,6.2,6.45,7.1,0.95,18.0952,5,926,0.476568
42.5,4.25,5.25,5.9,0,0,1,36,0.46375
47.5,3.5,3.3,4.05,1.15,48.9362,3,49,0.449224
52.5,1.35,1.71,2.54,0,0,3,1560,0.424566
55,1.65,1.46,2.07,0.25,17.8571,1,738,0.422247
57.5,0.66,1.08,3.2,0,0,3,324,0.547612
60,1.15,0.78,1.5,0.4,53.3333,57,340,0.432135
62.5,0.64,0.56,1.31,0,0,1,521,0.439703
65,0.5,0.28,1.07,0,0,12,1048,0.437506
67.5,0.4,0.3,0.65,0.05,14.2857,5,455,0.404303
70,0.25,0.1,0.5,0,0,2,344,0.399908
72.5,0.19,0,0.43,0,0,20,422,0.405279
75,0.18,0.2,0.36,0.03,20,9,1452,0.408209
77.5,0.11,0.05,0.82,0,0,1,105,0.506353
80,0.18,0.06,0.28,0,0,3,890,0.420416
82.5,0.08,0,0.63,0,0,1,57,0.509282
85,0.05,0,0.49,0,0,3,61,0.498296
90,0.15,0,0.25,0,0,5,155,0.466802
95,0.1,0,0.25,0,0,1,93,0.491216
100,0.01,0.01,0.05,0,0,40,468,0.412115
105,1.7,0,0,0,0,17,0,0.250007
110,0.05,0,0.22,0,0,10,64,0.544926
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: COP
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
45,2.7,2.6,3.1,-0.23,-7.84983,43,513,0.513677
30,8.4,8.65,9.8,-0.8,-8.69566,6,1206,0.588139
15,19.85,19.35,21.15,0,0,1,8,0.693362
72.5,0.16,0.1,0.29,0,0,2,495,0.465826
18,11.28,16.75,18.65,0,0,0,4,0.673831
40,4.25,4,5,-0.55,-11.4583,106,5228,0.525395
82.5,0.05,0,0.22,-0.06,-54.5455,10,326,0.502446
20,15,15.4,16.55,3.25,27.6596,2,10,0.639164
23,12.7,12.95,14.7,-0.45,-3.42205,4,4,0.639164
35,6.5,6.05,6.85,-0.2,-2.98507,55,1120,0.543584
25,11.44,11.3,12.75,-0.56,-4.66667,132,78,0.577641
50,1.61,1.25,1.98,0.0500001,3.20513,1625,4018,0.491948
52.5,1.28,0.43,1.69,0,0,30,455,0.496343
55,1.21,0.87,1.32,0.08,7.07965,102,1018,0.485601
57.5,0.74,0.42,1.07,0.09,13.8462,1,616,0.482183
60,0.7,0.44,0.6,0.05,7.69231,1,3997,0.436529
62.5,0.36,0.19,0.6,0,0,20,1786,0.45899
65,0.29,0.17,0.38,-0.14,-32.5581,5,3010,0.435064
67.5,0.29,0.21,0.43,0,0,2,974,0.465826
70,0.25,0.1,0.37,0,0,15,1851,0.47022
75,0.17,0,0.29,0,0,1,2453,0.481939
77.5,0.26,0.05,0.26,0.15,136.364,1,848,0.487798
80,0.08,0.01,0.22,-0.02,-20,5,578,0.488775
85,0.08,0,0.21,0,0,2,370,0.511724
87.5,0.05,0,0.21,0,0,1,416,0.524907
90,0.05,0,0.2,0,0,1,187,0.533208
95,0.05,0,0.19,0,0,2,166,0.500982
100,0.07,0,0.19,-0.02,-22.2222,1,152,0.521489
105,0.05,0,0.19,0,0,5,18,0.54102
110,0.05,0,0.14,0,0,4,0,0.539067
115,0.13,0,0.19,0.12,1200,1,155,0.576176
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66

Ticker: BRK-B
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
85,95.45,108.3,112.4,0,0,0,1,0.58643
125,64,70.85,75.4,0,0,9,114,0.527715
95,93,98.45,103,0,0,0,11,0.542607
100,98,93.95,97,5,5.37634,25,2325,0.579106
105,83.5,89.25,93.8,0,0,3,156,0.520513
110,71,84.5,89,0,0,2,176,0.589787
115,100.3,104.3,109,0,0,2,83,1.16367
120,79,75.3,80,9,12.8571,1,559,0.550908
130,69.75,66.6,71,5.75,8.98438,2,514,0.510015
135,66,62.3,66.6,14.97,29.3357,1,98,0.491491
140,54.9,57.6,62.2,0,0,31,565,0.472295
145,44,54.45,58,0,0,2,474,0.457006
150,52.71,50.65,53.8,3.01,6.05633,40,1901,0.440588
155,49.8,45.6,49.85,6.59,15.2511,2,945,0.428137
160,44.24,42.65,45,3.74,9.23457,72,17568,0.39707
165,40,38.2,42.5,5.95,17.4743,1,2170,0.408728
170,38.17,33.9,38.3,3.46,9.96831,2,5148,0.387305
175,29.5,31.3,34.9,0,0,1,529,0.378119
180,29.05,27,30.9,2.05,7.59259,70,2467,0.357428
185,27.48,24.5,26.5,3.28,13.5537,7,724,0.32923
190,22.52,21.3,23.2,1.52,7.2381,11,1524,0.316291
-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66,-6.27744e+66
195,19.07,17.9,21.6,1.47,8.35227,28,1248,0.32627
200,16.57,15.5,17,1.07,6.90322,81,6438,0.289314
205,14.9,12.55,15.75,2.15,16.8627,15,616,0.29911
210,10.63,10.35,13.7,0.63,6.3,59,3709,0.294502
215,8.5,8.05,10.25,0.35,4.29448,8,482,0.265602
220,7.35,6.65,8,0.84,12.9032,1121,7224,0.251076
225,5.85,5.15,7,0.65,12.5,6,1236,0.253761
230,4.5,4.4,5,0.8,21.6216,106,10471,0.235481
240,2.7,1.9,2.9,0.69,34.3284,99,17195,0.221718
250,1.19,1.08,1.38,0.16,15.534,146,9008,0.203804
260,0.64,0.63,0.96,0.22,52.381,57,2920,0.208992
270,0.4,0.39,0.45,0.19,90.4762,701,2643,0.199227
280,0.1,0.08,0.3,-0.1,-50,3,1825,0.203133
290,0.07,0.07,0.18,-0.05,-41.6667,47,1473,0.203865
300,0.05,0.04,0.09,-0.01,-16.6667,130,1544,0.200203
310,0.03,0.01,0.16,-0.07,-70,104,753,0.228523
320,0.01,0.01,0.1,-0.09,-90,36,1459,0.228035

Ticker: INTC
Strike,LastPrice,Bid,Ask,Change,PercentChange,Volume,OpenInterest,ImpliedVol
23,29.8,33.85,34.7,0,0,5,19,0.51563
35,19.5,21.95,23.35,0,0,1,850,0.490239
25,25,31.75,32.85,0,0,4,21,0.653324
40,18,17.55,19.75,-1.95,-9.77444,5,1543,0.514165
28,25.6,28.7,30.05,0,0,2,7,0.612797
30,27.28,26.75,28.2,-3.32,-10.8497,4,176,0.586918
33,25.45,24.3,25.55,0,0,6,58,0.561772
38,24,19.25,21.4,0,0,1,886,0.531499
43,15.6,14.9,17.55,2.25,16.8539,1,712,0.503667
45,14.8,14.25,14.95,-1.3,-8.07453,6,2599,0.413824
47,13,12.4,13.5,-3.15,-19.5046,106,3752,0.405401
50,10.95,9.85,11.4,-1.3,-10.6122,10,7389,0.389899
52.5,9.4,9.2,9.9,-1.27,-11.9025,25,5425,0.384161
